cui,umls_concept
C0032385,Pollen
C0018893,Helminths
C0205217,Increased
C0455453,Family history: Allergy
C1423517,ADAM33 gene
C1516998,Exogenous Factors
C0020405,Hygiene
C1697779,immediate - ResponseCode
C0950373,Eosinophil cationic protein
C0011615,"Dermatitis, Atopic"
C0004920,Bee Venoms
C0030842,penicillins
C0042109,Urticaria
C0023052,Laryngeal Edema
C1334103,IL13 gene
C0016470,Food Allergy
C0205253,Immediate
C0238614,ALLERGEN EXPOSURE
C0332220,Cross-linking
C0035455,Rhinitis
C1516015,Antigen Targeting
C0037995,Splenectomy
C0002880,Autoimmune hemolytic anemia
C0398650,Immune thrombocytopenic purpura
C0032195,Platelet Membrane Glycoproteins
C0403529,Anti-Glomerular Basement Membrane Disease
C0035436,Rheumatic Fever
C0026896,Myasthenia Gravis
C5676780,Anti-thyroid-stimulating hormone receptor antibody positivity
C0018213,Graves Disease
C0001824,Agranulocytosis
C0034792,Cholinergic Receptors
C1882074,Neutral pH
C0085435,"Arthritis, Reactive"
C0003321,"Antigens, Bacterial"
C0036830,Serum Sickness
C0440454,Animal dander
C0998367,Pyroglyphidae
C0033978,Psychotropic Drugs
C0020965,Active immunity
C1553404,terminated - RoleStatus
C3714552,Weakness
C0003272,Antibody-Dependent Cellular Cytotoxicity
C0002111,Allergy Specialty
C1096189,Type II hypersensitivity
C0003339,Surface Antigens
C0268338,"Ehlers-Danlos Syndrome, Type IV"
C1322281,Hayfever/allergic rhinitis
C0004048,Inspiration function
C0021485,Injection of therapeutic agent
C0439232,Minute of time
C0027740,Nerve
C0147080,TRYPTASE
C0522510,With intensity
C1548602,Initiate (source type)
C0037380,Snake Venoms
C0017398,Science of genetics
C0392707,Atopy
C0439662,Immune
C0798503,Challenge:Type:Point in time:^Patient:Nominal
C0021149,Incidence
C1290992,Smooth muscle spasm
C1291777,Protein antigen
C0033774,Pruritus
C0740852,Upper airway obstruction
C0000729,Abdominal Cramps
C0011991,Diarrhea
C0683140,Drug Metabolism
C0274435,Transfusion Reaction
C0027697,Nephritis
C0030552,Paresis
C0522224,Paralysed
C0034844,Thyrotropin Receptor
C0260043,neuromuscular transmission
C0014761,"Erythroblastosis, Fetal"
C0017658,Glomerulonephritis
C1336679,TSHR gene
C1181052,Thyroid Gland Follicular Cell
C0020550,Hyperthyroidism
C0037284,Skin lesion
C0043405,Yersinia <bacteria>
C0263678,Acute arthritis
C0003442,"lymphocyte immune globulin, anti-thymocyte globulin"
C4228838,Immune complex deposition
C0012546,Diphtheria
C0019944,Equus caballus
C3269238,antibody-mediated agglutination
C0017665,Membranous glomerulonephritis
C0003907,Arthus Reaction
C0221208,Traumatic injection site
C0596402,cytotoxicity
C0021641,Insulin
C0017785,Glutamate Decarboxylase
C0014346,Enterobacteriaceae
C0077941,urushiol
C0263680,Chronic arthritis
C3686577,Insulitis
C3889047,Intestinal inflammation
C0086272,Experimental Model
C1292081,Tuberculin reaction
C0034131,purified protein derivative of tuberculin
C0332534,Induration
C0011616,Contact Dermatitis
C0312555,Neoantigen
C0036323,Schistosomiasis
C0011854,"Diabetes Mellitus, Insulin-Dependent"
C0019159,Hepatitis A
C0009324,Ulcerative Colitis
C0442893,Systemic disease
C0206120,Clonal Anergy
C3179074,Central Tolerance
C3179073,Peripheral Tolerance
C1512631,Immature B-Lymphocyte
C1412304,AIRE gene
C1817902,B cell receptor editing
C0010186,Financial cost
C1625151,B7 Antigens
C2985420,CD276 Antigen
C0007507,"Antigens, CD25"
C1416467,FOXP3 gene
C0342288,Insulin-dependent diabetes mellitus secretory diarrhea syndrome
C0445450,Bim serotype
C1328840,Autoimmune Lymphoproliferative Syndrome
C0015392,Eye
C0919453,Cancer-Predisposing Gene
C0041432,Monozygotic twins
C4761490,Derung Chinese
C0038013,Ankylosing spondylitis
C1334545,Major histocompatibility complex gene
C0026944,Mycoplasmatales (bacterium)
C0010357,Cross Reactions
C0242943,Molecular Mimicry
C1956108,Microbiome
C3831601,Adipose Tissue Deposition
C2267116,Vascular Alterations
C0268731,Renal glomerular disease
C1261155,AST serum measurement
C0497156,Lymphadenopathy
C0033687,Proteinuria
C0699952,Fused
C0233520,Destructive behavior
C0026969,Myelin
C0030280,Structure of alpha Cell of islet
C0162451,Poison Ivy Dermatitis
C0446292,Poison Oak
C0015230,Exanthema
C0005758,Bulla
C0221912,Cutaneous
C0041289,tuberculin
C0042520,Structure of venule
C0205324,Flat shape
C0332158,Contact with
C0080159,Vesicular Skin Diseases
C4042842,CELF Proteins
C0018129,Graft Rejection
C0009841,Contact-Sensitizing Agents
C0497552,Congenital neurologic anomalies
C4551524,Autoimmune
C0205370,Unspecified
C0262428,Collagen-vascular disease
C0009782,Connective Tissue Diseases
C1442161,Gene Deletion Abnormality
C2347338,Negative Selection
C0085409,"Polyendocrinopathies, Autoimmune"
C0011746,Mitosporic Fungi
C1622967,cell periphery
C0309872,PREVENT (product)
C0034819,Interleukin 2 Receptor
C4505136,Immune Privilege
C0394016,"Coma, Post-Head Injury"
C0042164,Uveitis
C1817966,B cell tolerance induction
C1321760,HLA locus
C0019764,HLA-DR Antigens
C0019761,HLA-DQ Antigens
C1525410,Cyclic citrullinated peptide antibody
C0019774,HLA-DR4 Antigen
C0019740,HLA-B27 Antigen
C0038402,Streptococcus
C1335057,"PTPN22 protein, human"
C1537403,IL23R gene
C0963088,interleukin-23
C1332802,CTLA4 gene
C1334114,IL2RA gene
C0968181,"IRF5 protein, human"
C1310463,"IFIH1 protein, human"
C0301704,phosphatidylserine
C0014060,"Encephalitis, St. Louis"
C0041625,Ultraviolet Rays
C4054590,Lupus Flare
C0033105,Statistical Prevalence
C1705484,Female-to-Male Transsexual Phenotype
C0034678,ras Oncogene
C0022408,Arthropathy
C0032231,Pleurisy
C0024312,Lymphopenia
C0596070,Americas Ethnicity
C0013268,Ducks
C0683312,Categories
C0439851,Direct type of relationship
C0439716,Nucleolar pattern
C0017397,Genetic Vectors
C0041429,"Twins, Dizygotic (person)"
C0019770,HLA-DR2 Antigen
C0019772,HLA-DR3 Antigen
C0020223,hydralazine
C0033216,procainamide
C0030817,penicillamine
C1423633,TLR9 gene
C0971207,"TLR7 protein, human"
C1420816,TNFSF13B gene
C1836575,No immunologic abnormalities
C0332452,defective
C0023172,Lupus erythematosus cell
C0338656,Impaired cognition
C1318520,Necrotizing vasculitis
C0003860,Arteritis
C4053954,Minimal mesangial lupus nephritis
C4053958,Mesangial proliferative lupus nephritis
C0441885,Class 1
C4053955,Diffuse lupus nephritis
C0024143,Lupus Nephritis
C3554335,Subendothelial deposits
C4054543,Membranous lupus nephritis
C0205179,Advanced phase
C1521970,Characteristics
C0277942,Butterfly rash
C0423791,Maculopapular Lesion
C0085536,Protein Tyrosine Phosphatase
C0205906,Sexism
C0043210,Woman
C0460002,body system
C2347946,Relevance
C0003243,"Antibodies, Antinuclear"
C0036760,Serous Membrane
C0871685,Clinician
C0019409,Heterogeneity
C0724000,Twenties
C3843826,Thirties
C0599196,Early childhood
9:1,9:1
2:1,2:1
C0005680,Black Populations
C0086409,Hispanics
C0349506,Photosensitivity of skin
C0334154,adherent
C0263383,Keratosis pilaris
C0234233,Sore to touch
C0008033,Pleuritic pain
C0032227,Pleural effusion disorder
C0302881,RED CELL CASTS
C0033975,Psychotic Disorders
C0026975,Myelitis
C0152036,Immunology
2012,2012
1997,1997
C1384505,Antibody type
C0035544,Ribonucleoproteins
C0311474,"DNA, Double-Stranded"
C0919842,Treponema pallidum antibody measurement
C0085240,Lupus Coagulation Inhibitor
C5551027,Nucleotide Sequence Sample Name
C1527336,Sjogren's Syndrome
C1167386,complement component C1q complex location
C0009516,Complement component C4
C5200924,Failure
C0599779,Animal Model
C1881065,Homogeneity
C0018964,Hematoxylin
C0031039,Pericardial effusion
C4552766,Miscarriage
C0221444,clinical syndromes
C0333164,Narrow
C3549566,Renal involvement
C1704258,Abnormality
C0016318,Fluorescent Antibody Technique
C0522498,Rare
C0017655,Structure of glomerular mesangium
C0545017,Increased mesangial matrix
C0226356,Glomerular capillaries structure
C1314939,Involvement with
C0205122,Segmental
C0022667,Kidney Papillary Necrosis
C0020191,Hyalin Substance
C5539893,Glomerular crescent formation
C0018965,Hematuria
C0151467,Addisonian crisis
C0042036,Urine
C0544452,Disease remission
C0439792,Extent
C1333822,Glandular Pattern
C0227643,Structure of Bowman's space
C0231220,Symptomatic
C0332240,Unknown (origin) (qualifier value)
C4053959,Focal lupus nephritis
C2328510,Interstitium
C0015450,Face
C0225442,Trunk of elephant
C0333359,Perivascular inflammation
C0079604,Immunofluorescence Microscopy
C5420783,Joint Involvement
C0750502,Significant
C2717756,Corneal Endothelial Cell Loss
C1883524,Valvular stenosis
C0021359,Infertility
C0014118,Endocarditis
C0038002,Splenomegaly
C4014733,Follicular hyperplasia
C2959480,Necrotizing lymphadenitis
C0024138,Chronic discoid lupus erythematosus
C0241148,Cutaneous plaque
C1512663,Immunoglobulin Deposition
C1457887,Symptoms
C0022209,isoniazid
C0281481,Anti-Tumor Necrosis Factor Therapy
C0263591,Drug-induced lupus erythematosus
C0013238,Dry Eye Syndromes
C0043352,Xerostomia
C1285092,Gland
C1262091,Lymphocytic infiltration
C0672520,"RO60 protein, human"
C4553351,SSB wt Allele
C0035448,Rheumatoid Factor
C0015282,Exocrine Glands
C0205462,Histologic
C0333386,Chronic lymphocytic inflammation
C1960401,Radiographic image correlates with tumor pathology finding
C0332268,Lacking
C0026639,Oral mucous membrane structure
C1512080,Dryness (characteristic)
C0022573,Keratoconjunctivitis
C0014591,Epistaxis
C0741796,Recurrent bronchitis
C3714636,Pneumonitis
C0036588,Self
C1258104,Diffuse Scleroderma
C0748540,"Scleroderma, Limited"
C0206138,CREST Syndrome
C0206064,Microvascular Angina
C0241657,Abnormality of the vasculature
C1337091,CCL4 gene
C1402315,Vascular lesions
C0242656,Disease Progression
C0263625,Subcutaneous calcification
C0441994,Lower - spatial qualifier
C0227266,Intestinal Villus
C4014891,Renal abnormalities
C1512856,Interlobular Artery
C0205282,Malignant - descriptor
C0151654,Myocardial fibrosis
C0162770,Right Ventricular Hypertrophy
C0221929,Dermoepidermal junction
C0011633,Dermatomyositis
C0334096,Intimal proliferation
C0205365,Subacute
C0029053,Decreased translucency
C0332465,Obliteration
C0150312,Present
C0522055,Electrocardiogram abnormal (finding)
C0002962,Angina Pectoris
C1292734,Treatment intent
C0337577,Uncle
C1837655,Multifactorial
C0020473,Hyperlipidemia
C0026264,Mitral Valve
C0409974,Lupus Erythematosus
C3887486,Interstitial lung fibrosis
C0264936,Secondary pulmonary hypertension
C0700329,Physical shape
C1298634,Insidious onset
subtle and puzzling,subtle and puzzling
C0079946,National origin
C0079603,Immunofluorescence assay
C0205214,Common (qualifier value)
C0853888,Hypocomplementemia
C4084930,Have Noticed New Changes in Skin
C0036270,Scalp structure
C0205391,Widespread
C0205124,Superficial
C0151500,Anticholinergic Syndrome
C1158513,double-strand break repair via homologous recombination
C0086981,Sicca Syndrome
C0085655,Polymyositis
C0178468,Autoimmune thyroid disease
C0679245,early disease
C0872146,disease length
C0262988,Cutaneous Vasculitis
C0333438,Hyaline degeneration
C0024299,Lymphoma
C0059735,Cytochrome P-450 CYP1A1
C0344232,Blurred vision
C0085624,Burning sensation
C0016452,Food
C0039103,Synovitis
C0031117,Peripheral Neuropathy
C0001126,Renal tubular acidosis
C0151582,Uric acid crystalluria
C0268079,Hyperphosphaturia
C0041349,"Nephritis, Tubulointerstitial"
C0022907,Lacrimal gland structure
C0042373,Vascular Diseases
C0026565,Mortality Vital Statistics
C0036420,Localized scleroderma
C0016129,Fingers
C0151445,Primary Raynaud Phenomenon
C0014858,Esophageal motility disorders
C0150988,Sclerodactyly
C0039446,Telangiectasis
C0000772,Multiple congenital anomalies
C0026860,Musculoskeletal System
C0031119,Peripheral Nerves
C0037004,Shoulder
C0027530,Neck
C0011164,Abnormal degeneration
C0154839,Partial retinal artery occlusion
C0439801,Limited (extensiveness)
C4021220,Trophic changes related to pain
C0205088,End-stage
C0242808,Pliability
C1261287,Stenosis
C1179187,Lamina Propria
C0225344,Tunica submucosa
C0024523,Malabsorption Syndrome
C0020540,Malignant Hypertension
C0011168,Deglutition Disorders
C1333445,Esophageal Fibroma
C0000737,Abdominal Pain
C0021843,Intestinal Obstruction
C4022832,Mild proteinuria
C0281169,Pulmonary Complication
C0161816,Cardiac complication
C0003242,"Antibodies, Anti-Idiotypic"
C0236514,Centromere antibody
C0577007,Lesion of esophagus
C0023892,Biliary cirrhosis
C0027121,Myositis
C0238190,"Myositis, Inclusion Body"
C3203653,IgG4-Related Sclerosing Disease
C0026103,Mikulicz Disease
C0154162,Riedel's thyroiditis
C0035357,Retroperitoneal fibrosis
C2609129,Autoimmune Pancreatitis
C0020860,Immunoglobulin IgG4
C0393022,rituximab
C0002131,Alloantigens
C0008313,"Cholangitis, Sclerosing"
C0038556,Submandibular gland
C3273245,Acute Rejection
C4086919,Tumor Antigen-specific Antibody
C0877453,acute cellular rejection
C0022144,Isoantibodies
C1858395,Tubular atrophy
C1709854,Recipient
C0018131,Graft Survival
C0010592,cyclosporine
C0729218,FK-506
C0209368,mycophenolate mofetil
C0072980,sirolimus
C0004482,azathioprine
C0003250,Monoclonal Antibodies
C3831520,Anti-CD3 Monoclonal Antibody
C0010825,Cytomegalovirus
C0032556,Polyomavirus
C0021344,human papillomavirus
C0006902,Capillaritis
C5212747,post hematopoietic stem cell transplant
C0039730,Thalassemia
C0079490,Hematopoietic Cell Growth Factors
C0162371,Umbilical Cord Blood
C0018133,Graft-vs-Host Disease
C1705822,Transfer Technique
C1947933,care activity
C0162801,Sequence Analysis
C0856825,Acute GVH disease
C0017657,Glomerulitis (disorder)
C0867389,Chronic graft-versus-host disease
C0032098,Plants
C0241165,Thick skin
C0018563,Hand
C0700135,distorted
C0679317,hypomotility
C0042135,Uterine Inertia
C0870809,Life Span
C0012920,"DNA Topoisomerases, Type I"
C0085096,Peripheral Vascular Diseases
C0016536,Forearm
C4330477,Immune-mediated
C0206062,"Lung Diseases, Interstitial"
C0031542,Phlebitis
C0230064,Periorbital region
C0003483,Aorta
C0033572,Prostate
C1883073,Electromagnetic Spectrum
C3825963,Middle-aged men
C0814225,Benefit
C1515895,Allogeneic
C0260039,Nephrologists
C0029216,Organ Transplantation
C0005804,Blood Group Antigens
C0005841,Blood Transfusion
C0564454,Allograft kidney
C0010367,"Crossmatching, Blood"
C0332580,Cyanotic
C0302133,Mottling
C0003460,Anuria
C1262018,Graft failure
C1265831,Interstitial inflammation
C0151747,Renal tubular disorder
C0423262,Corneal endotheliitis
C0162864,Tunica Intima
C0041348,Tubulin
C5551005,Sparse hair (finding)
C0022671,Kidney Transplantation
C0184511,Improved
C0018823,Heart Transplantation
C0024128,Lung Transplantation
C0023911,Transplantation of liver
C1517745,Latent Virus
C1155285,virus induced gene silencing (VIGS)
C0376545,Hematologic Neoplasms
C2931245,Bone Marrow Failure Disorders
C1518071,Lymphoid
C0439230,week
C0151594,Hemorrhagic diarrhea
C0013443,Ear structure
C1333431,"Lymphoma, EBV-associated"
C0221099,Impaired
C0681205,Sacrifice
C0010823,Cytomegalovirus Infections
C0398686,Primary immune deficiency disorder
C0597745,secondary immune deficiency
C0085110,Severe Combined Immunodeficiency
C0021270,Infant
C0008059,Child
C0574493,Adangme language
C0009447,Common Variable Immunodeficiency
C1279481,X-Linked Combined Immunodeficiency Diseases
C0441748,Autosomal recessive inheritance
C0011473,Deoxyadenine Nucleotides
C0073020,recombinase
C3272697,Embryonic remnant
C0024296,Lymphoid Tissue
C0017296,gene therapy
C1520007,Viral Vector
C1961099,Precursor T-Cell Lymphoblastic Leukemia-Lymphoma
C1518575,Oncogene Activation Process
C0221026,X-linked agammaglobulinemia
C1504735,"TNFRSF17 protein, human"
C1412841,BTK gene
C0729663,Maternal antibody
C0018483,Haemophilus influenzae
C0038410,Streptococcus pneumoniae
C0038172,Staphylococcus aureus
C0014383,Enterovirus
C0017535,Giardia lamblia
C0279033,Replacement therapy
C0085297,"immunoglobulins, intravenous"
C0012236,DiGeorge Syndrome
C0858451,serum immunoglobulin a
C0231067,Pharyngeal pouch
C1389851,Parathyroid hypoplasia
C0080232,Tissue Transplantation
C0272236,Hyperimmunoglobulin M syndrome
C0398689,"Hyper-IgM Immunodeficiency Syndrome, Type 1"
C2700640,Encode (action)
C0596142,Autosome
C1421876,AICDA gene
C5203867,CD40LG Gene Mutation
C0086438,Hypogammaglobulinemia
C1415846,ICOS gene
C0014378,Enterovirus Infections
C0743188,diarrhea persistent
C0162538,Immunoglobulin A deficiency (disorder)
C0854723,Retinal Dystrophies
C0043194,Wiskott-Aldrich Syndrome
C0043041,Wasps
C1335962,Signaling Protein
C0230664,Membrane receptor
C0258432,Wiskott-Aldrich Syndrome Protein
C3893417,cytoskeleton-dependent cytokinesis
C0004135,Ataxia Telangiectasia
C0575081,Gait abnormality
C0158570,Vascular anomaly
C0103097,ammonium tetrathiomolybdate
C0398738,Leukocyte adhesion deficiency type 1
C0398739,"Congenital disorder of glycosylation, type 2C"
C0016790,Fucosyltransferase
C0007965,Chediak-Higashi Syndrome
C1313494,"TLR3 protein, human"
C1417530,MYD88 gene
C3150275,COMPLEMENT COMPONENT 2 DEFICIENCY
C1173148,"SERPING1 protein, human"
C0023078,Larynx
C4049006,Selective immunoglobulin A deficiency
C0599685,Anti-Retroviral Agents
C0392920,Chemotherapy Regimen
C0398795,Secondary immune deficiency disorder
C0231330,Infancy
C0006840,Candidiasis
C0015965,Fetus
C0006837,Candida albicans
C0320385,Pneumocystis jiroveci
C0008049,Chickenpox
"1 in 65,000 to 1 in 100,000","1 in 65,000 to 1 in 100,000"
C0001457,ADENOSINE DEAMINASE
C2711630,Combined immunodeficiency disease
C1621315,purine metabolism activity
C0086574,Lymphoid Cells
C1955941,"Precursor Cells, T-Lymphoid"
C3816168,B-Cell Receptor Complex
C0218158,Agammaglobulinaemia tyrosine kinase
C0086582,Males
C0001344,Acute pharyngitis
C0155825,Chronic pharyngitis
C0037199,Sinusitis
C0029882,Otitis Media
C0006277,Bronchitis
C0027763,Nervous system structure
C0032372,"Poliomyelitis, Bulbar"
C0033740,Protozoan Infections
C4695382,Intracellular bacteria
C0030518,Parathyroid gland
C2931299,Combined immunodeficiency due to ZAP70 deficiency
C0151940,Hypocalcemic tetany
C1520195,Xq26
C0021017,Immunoglobulin Isotypes
"1 in 50,000","1 in 50,000"
C1511002,B-Cell Differentiation
C0038858,"Suppressor Factors, Immunologic"
C0002878,"Anemia, Hemolytic"
C0002892,"Anemia, Pernicious"
C0598798,Lymphoid neoplasm
C0019372,Herpesviridae Infections
C0025309,Meningoencephalitis
C0017534,Giardia
C0009253,Coitus
C0231335,Childhood
C0001578,Adolescence
C0024623,Malignant neoplasm of stomach
C0178987,Artificial Airways
C1846546,Recurrent sinopulmonary infections
C0026918,Mycobacterium Infections
C0006845,"Candidiasis, Chronic Mucocutaneous"
C2936739,"Hyper-Immunoglobulin E Syndrome, Autosomal Dominant"
C1138434,"Genetic Diseases, X-Linked"
C0013595,Eczema
C3830363,Early Fetal Death
C3899988,Autosomal Recessive Disorder
C0004134,Ataxia
C0521654,Neurologic Deficits
C0020856,Immunoglobulin IgG2
C0919524,ATM gene
C0152009,White blood cell abnormality
C0001916,Albinism
C0531296,CHS protein
C0276226,Herpes encephalitis
C0858906,Pyogenic Infection
C3899989,Autosomal Dominant Disorder
C0029118,Opportunistic Infections
C0085183,"Neoplasms, Second Primary"
C0027854,Neurologic Manifestations
C0027567,African
C0001737,Africa
C0003980,Asia
C2828008,Burden
C0014507,Epidemiology
C0002783,Epidemiologic Studies
C0019898,Homosexuals
C0259931,Hemophiliacs
C5547365,Pediatric population
C0282474,Maternal-Fetal Infection Transmission
C1519279,Sexual transmission
C0036916,Sexually Transmitted Diseases
C0151281,Genital ulcers
C1628491,Parenteral transmission
C0018684,Health
C0040722,disease transmission qualifier
C0008495,Chorioamnionitis
C1963724,Antiretroviral therapy
C4042908,Seroconversion
C0019704,HIV-1
C0019707,Human immunodeficiency virus 2 (HIV-2)
C1622204,envelope
C0598995,virus core
C1413246,CD9 gene
C1268457,Viral core
C1167398,Viral Envelope
C0227091,Maxillary left lateral primary incisor
C0017360,pol genes
C5392128,Viral Proteases
C2963249,Accessory
C2827666,Variability
C0042760,Virion
C0449560,Subtype (attribute)
C5555894,Clade
C3820765,cell cycle DNA replication
C0080194,Muscle strain
C0221786,white American
C0596709,HIV envelope protein
C0042720,Viral Genome
C0035380,Reverse Transcription
C0006556,"DNA, Complementary"
C1158478,DNA Integration
C0012939,"DNA, Viral"
C0042736,Viral Proteins
C1138413,"Regulatory Sequences, Ribonucleic Acid"
C0039551,Terminal Repeat Sequences
C0007594,Cell fusion procedure
C0205275,Latent
C0086474,"Integration, Provirus"
C0439682,Follicular
C0020455,Hypergammaglobulinemia
C0042749,Viremia
C0275518,Acute infectious disease
C0682639,Memory T Cells
C1698484,Mucosal Infection
C0457343,Chronic phase
C1523368,T cell mediated cytotoxicity
C0008956,Clinical Competence
C0243009,CD4 Count determination procedure
C0332167,High risk of
C0682323,Partner in relationship
1985,1985
C0005889,Body Fluids
C4743688,Sexual Contact
C0019900,Homosexuality
C0036563,Plant seeds
C1880165,Concentrate Dosage Form
C0242566,Intravenous drug user
C0205279,Contaminated
C0183185,Screens (device)
C0011209,Obstetric Delivery
C0033011,Pregnant Women
0.3%,0.3%
C0521143,Seropositive
C0079337,Feline Immunodeficiency Virus
C0037224,Simian immunodeficiency virus
C0079031,"Immunodeficiency Virus, Bovine"
C1019124,Infectious salmon anemia virus
C0015176,Europe
C0001740,"Africa, Central"
C0001747,"Africa, Western"
C0021201,India
C0332501,Spherical shape
C1136102,Capsid Proteins
C1948062,Copy (object)
C0035379,RNA-Directed DNA Polymerase
C0063690,Integrase
C0017343,"Genes, env"
C1819995,Host Cell
C1325834,viral glycoprotein
C1079230,Subgroup A Nepoviruses
C0681686,Geographic Distribution
C0043129,Western Europe
C0039725,Thailand
C0015024,Ethiopia
C0001746,"Africa, Southern"
C0599894,cellular targeting
C0023675,Life Cycle Stages
C1258847,"CES1 protein, human"
C1167399,host cell cytoplasm
C0475806,1/3 meter (distance vision finding)
C0443304,Silent
C0872054,Latent Infection
C1697860,Transcriber
C1155616,Cell budding
C0040421,Palatine Tonsil
C0010827,"Cytopathogenic Effect, Viral"
C1184738,Set of regional lymph nodes
C0031350,Pharyngitis
C0231528,Myalgia
C0015672,Fatigue
C4288309,Rare Disease Indicator
C0678587,Steady-State
C0521026,Viral
C0010176,Cost Control
C1272688,status - In progress
C0275522,Asymptomatic Infections
C0001675,Adult
C0376249,With frequency
C0001972,Alcoholics Anonymous
C0006849,Oral candidiasis
C0153252,Systemic candidiasis
C0008513,Chorioretinitis
C0206178,Cytomegalovirus Retinitis
C0009319,Colitis
C2718284,Mycobacterium avium-intracellulare
C0948192,primary infection nos
C0010414,Infection by Cryptococcus neoformans
C0025289,Meningitis
C0040557,Toxoplasma gondii
C0022369,JC Virus
C0019348,Herpes Simplex Infections
C0036220,Kaposi Sarcoma
C0079731,B-Cell Lymphomas
C0007847,Malignant tumor of cervix
C0153446,Malignant neoplasm of anus
C3825307,Oncogenic DNA viruses
C0376526,human herpesvirus 8
C0887947,"Antiretroviral Therapy, Highly Active"
C4230397,Spindle-shaped finger
C0682540,spindle cell
C0002976,Angiogenesis Factor
C0280734,AIDS-Related Malignant Neoplasm
C1817907,T cell mediated immunity
C1292753,Primary Effusion Lymphoma
C0006413,Burkitt Lymphoma
C0079744,Diffuse Large B-Cell Lymphoma
C1332399,BCL6 gene
C0019829,Hodgkin Disease
C0085133,Reed-Sternberg Cells
C0206186,"Leukoplakia, Hairy"
C0343641,Human papilloma virus infection
C4041080,Neurocognitive Disorders
C4505323,Clinical Deterioration
C1619738,Immune Reconstitution Inflammatory Syndrome
C0001688,aspects of adverse effects
C0023787,Lipodystrophy
C1518910,Pathogenesis of HIV Opportunistic Infection
C0475463,"Antibodies, Neutralizing"
C0199176,Prophylactic treatment
C0343752,Acute HIV infection
C0029017,Oncogenic Viruses
C5539671,Mesangial fibrillary deposits
C0002716,Amyloid
C1456454,Amyloid Proteins
C0085151,Amyloid beta-Protein Precursor
C0009742,Congo Red
C0521164,Ring (shape)
C4255101,Fibrillins
C0268381,Primary amyloidosis
C0004965,Bence Jones Protein
C0443737,Monoclonal immunoglobulin
C0806492,Free Immunoglobulin Light Chain
C0596973,Monomer
C0006267,Bronchiectasis
C0008707,Chronic osteomyelitis
C0206245,"Amyloid Neuropathies, Familial"
C0031069,Familial Mediterranean Fever
C0665818,Pyrin
C1421224,TTR gene
C0268407,Senile cardiac amyloidosis
C0878544,Cardiomyopathies
C0268405,Hemodialysis-associated amyloidosis
C0005149,beta-2 Microglobulin
C0180860,Filters
C0268392,Localized amyloidosis
C0206693,Medullary carcinoma
C0031511,Pheochromocytoma
C0205698,Undifferentiated carcinoma
C0063684,Amylin
C0268380,Systemic amyloidosis
C3251824,Cell positive for CD4 antigen
C0231221,Asymptomatic (finding)
C0476486,Generalized enlarged lymph nodes
C0231187,Decompensation
C0272178,Drug-induced neutropenia
C0007439,Indwelling Catheter
C3812244,Minimal Disseminated Disease
C0014868,Esophagitis
C0236053,Mucosal ulcer
C0014038,Encephalitis
C0319132,Papovavirus
C0023524,"Leukoencephalopathy, Progressive Multifocal"
C0042993,Vulva
C0442158,Perianal
C0302592,Cervix carcinoma
C0279637,Anal carcinoma
C0007114,Malignant neoplasm of skin
C0027668,"Neoplasms, Vascular Tissue"
C0001738,Africa South of the Sahara
C0022497,Kansas (geographic location)
C0079427,Tumor Suppressor Genes
C0205422,Sporadic (qualifier value)
C1517067,Extranodal
C0028654,Clinical Nurse Specialists
C0029180,Ocular orbit
C5137640,neuroinflammatory response
C0016538,Projections and Predictions
C0040408,Tongue
C0751377,Neurologic Dysfunction
C1403880,Meningoencephalitis caused by virus
C0025290,Aseptic Meningitis
C0393489,Vacuolar myelopathy
C4721453,Peripheral Nervous System Diseases
C0001849,AIDS Dementia Complex
C5206279,Serum CEA Level Normal
C1955876,Human Immunodeficiency Virus Proteins
C0449830,With configuration
C0038179,starch
7.5-to 10-nm,7.5-to 10-nm
C0032131,Plasmacytoma
C0032923,Prealbumin
C0380301,Ephrin-A5
C0002722,Amyloid Protein AA
C3536715,AA amyloidosis
C0007134,Renal Cell Carcinoma
C0031154,Peritonitis
C0040165,levothyroxine
C3899382,Dialysis Membrane Reaction
C0877557,Periarthritis scapulohumeralis
C0007286,Carpal Tunnel Syndrome
C0005682,Urinary Bladder
C0014132,Endocrine Gland Neoplasms
C0312439,Polypeptide Hormones
C1449599,Ice Cover
C4317108,immunohistochemical stains
C1862968,Generalized amyloid deposition
C1279553,Myeloma-associated amyloidosis
C0298973,Ataxia Telangiectasia Mutated Proteins
C0854359,Insulin autoimmune syndrome
C2936621,High-Throughput Nucleotide Sequencing
C0103647,Antineutrophil Cytoplasmic Antibodies
C4049638,Cutaneous Small Vessel Vasculitis
C1513029,Mature T-Lymphocyte
C0596263,Carcinogenesis
C0085169,Anticarcinogenic Agents
C1708108,Fundamental Nanoscale Phenomena and Processes
C0086685,Natural Selection
C0262496,Molecular Abnormality
C0597032,Neoplastic Cell
C0086692,Benign Neoplasm
C0001807,Aggressive behavior
C0600091,Identifier
C0475277,Small tumor
C0004927,Behavior
C0852519,Benign chondrogenic neoplasm
C0001430,Adenoma
C1368683,Epithelioma
C0030354,Papilloma
C0032584,polyps
C0027430,Nasal Polyps
C0010633,Cystadenoma
C1261473,Sarcoma
C0025485,Mesoderm
C0007097,Carcinoma
C0009376,Colonic Polyps
C0039738,thallium
C3641779,Divergent Differentiation
C0026277,Mixed Salivary Gland Tumor
