cui,umls_concept
C0599685,antiretroviral agents
C0392920,chemotherapy regimen
C0398795,secondary immune deficiency disorder
C0231330,infancy
C0006840,candidiasis
C0015965,fetus
C0006837,candida albicans
C0320385,pneumocystis jiroveci
C0008049,chickenpox
"1 in 65,000 to 1 in 100,000",1 in 65000 to 1 in 100000
C0001457,adenosine deaminase
C2711630,combined immunodeficiency disease
C1621315,purine metabolism activity
C0086574,lymphoid cells
C1955941,precursor cells tlymphoid
C3816168,bcell receptor complex
C0218158,agammaglobulinaemia tyrosine kinase
C0086582,males
C0001344,acute pharyngitis
C0155825,chronic pharyngitis
C0037199,sinusitis
C0029882,otitis media
C0006277,bronchitis
C0027763,nervous system structure
C0032372,poliomyelitis bulbar
C0033740,protozoan infections
C4695382,intracellular bacteria
C0030518,parathyroid gland
C2931299,combined immunodeficiency due to zap70 deficiency
C0151940,hypocalcemic tetany
C1520195,xq26
C0021017,immunoglobulin isotypes
"1 in 50,000",1 in 50000
C1511002,bcell differentiation
C0038858,suppressor factors immunologic
C0002878,anemia hemolytic
C0002892,anemia pernicious
C0598798,lymphoid neoplasm
C0019372,herpesviridae infections
C0025309,meningoencephalitis
C0017534,giardia
C0009253,coitus
C0231335,childhood
C0001578,adolescence
C0024623,malignant neoplasm of stomach
C0178987,artificial airways
C1846546,recurrent sinopulmonary infections
C0026918,mycobacterium infections
C0006845,candidiasis chronic mucocutaneous
C2936739,hyperimmunoglobulin e syndrome autosomal dominant
C1138434,genetic diseases xlinked
C0013595,eczema
C3830363,early fetal death
C3899988,autosomal recessive disorder
C0004134,ataxia
C0521654,neurologic deficits
C0020856,immunoglobulin igg2
C0919524,atm gene
C0152009,white blood cell abnormality
C0001916,albinism
C0531296,chs protein
C0276226,herpes encephalitis
C0858906,pyogenic infection
C3899989,autosomal dominant disorder
C0029118,opportunistic infections
C0085183,neoplasms second primary
C0027854,neurologic manifestations
C0027567,african
C0001737,africa
C0003980,asia
C2828008,burden
C0014507,epidemiology
C0002783,epidemiologic studies
C0019898,homosexuals
C0259931,hemophiliacs
C5547365,pediatric population
C0282474,maternalfetal infection transmission
C1519279,sexual transmission
C0036916,sexually transmitted diseases
C0151281,genital ulcers
C1628491,parenteral transmission
C0018684,health
C0040722,disease transmission qualifier
C0008495,chorioamnionitis
C1963724,antiretroviral therapy
C4042908,seroconversion
C0019704,hiv1
C0019707,human immunodeficiency virus 2 hiv2
C1622204,envelope
C0598995,virus core
C1413246,cd9 gene
C1268457,viral core
C1167398,viral envelope
C0227091,maxillary left lateral primary incisor
C0017360,pol genes
C5392128,viral proteases
C2963249,accessory
C2827666,variability
C0042760,virion
C0449560,subtype attribute
C5555894,clade
C3820765,cell cycle dna replication
C0080194,muscle strain
C0221786,white american
C0596709,hiv envelope protein
C0042720,viral genome
C0035380,reverse transcription
C0006556,dna complementary
C1158478,dna integration
C0012939,dna viral
C0042736,viral proteins
C1138413,regulatory sequences ribonucleic acid
C0039551,terminal repeat sequences
C0007594,cell fusion procedure
C0205275,latent
C0086474,integration provirus
C0439682,follicular
C0020455,hypergammaglobulinemia
C0042749,viremia
C0275518,acute infectious disease
C0682639,memory t cells
C1698484,mucosal infection
C0457343,chronic phase
C1523368,t cell mediated cytotoxicity
C0008956,clinical competence
C0243009,cd4 count determination procedure
C0332167,high risk of
C0682323,partner in relationship
1985,1985
C0005889,body fluids
C4743688,sexual contact
C0019900,homosexuality
C0036563,plant seeds
C1880165,concentrate dosage form
C0242566,intravenous drug user
C0205279,contaminated
C0183185,screens device
C0011209,obstetric delivery
C0033011,pregnant women
0.3%,03
C0521143,seropositive
C0079337,feline immunodeficiency virus
C0037224,simian immunodeficiency virus
C0079031,immunodeficiency virus bovine
C1019124,infectious salmon anemia virus
C0015176,europe
C0001740,africa central
C0001747,africa western
C0021201,india
C0332501,spherical shape
C1136102,capsid proteins
C1948062,copy object
C0035379,rnadirected dna polymerase
C0063690,integrase
C0017343,genes env
C1819995,host cell
C1325834,viral glycoprotein
C1079230,subgroup a nepoviruses
C0681686,geographic distribution
C0043129,western europe
C0039725,thailand
C0015024,ethiopia
C0001746,africa southern
C0599894,cellular targeting
C0023675,life cycle stages
C1258847,ces1 protein human
C1167399,host cell cytoplasm
C0475806,13 meter distance vision finding
C0443304,silent
C0872054,latent infection
C1697860,transcriber
C1155616,cell budding
C0040421,palatine tonsil
C0010827,cytopathogenic effect viral
C1184738,set of regional lymph nodes
C0031350,pharyngitis
C0231528,myalgia
C0015672,fatigue
C4288309,rare disease indicator
C0678587,steadystate
C0521026,viral
C0010176,cost control
C1272688,status in progress
C0275522,asymptomatic infections
C0001675,adult
C0376249,with frequency
C0001972,alcoholics anonymous
C0006849,oral candidiasis
C0153252,systemic candidiasis
C0008513,chorioretinitis
C0206178,cytomegalovirus retinitis
C0009319,colitis
C2718284,mycobacterium aviumintracellulare
C0948192,primary infection nos
C0010414,infection by cryptococcus neoformans
C0025289,meningitis
C0040557,toxoplasma gondii
C0022369,jc virus
C0019348,herpes simplex infections
C0036220,kaposi sarcoma
C0079731,bcell lymphomas
C0007847,malignant tumor of cervix
C0153446,malignant neoplasm of anus
C3825307,oncogenic dna viruses
C0376526,human herpesvirus 8
C0887947,antiretroviral therapy highly active
C4230397,spindleshaped finger
C0682540,spindle cell
C0002976,angiogenesis factor
C0280734,aidsrelated malignant neoplasm
C1817907,t cell mediated immunity
C1292753,primary effusion lymphoma
C0006413,burkitt lymphoma
C0079744,diffuse large bcell lymphoma
C1332399,bcl6 gene
C0019829,hodgkin disease
C0085133,reedsternberg cells
C0206186,leukoplakia hairy
C0343641,human papilloma virus infection
C4041080,neurocognitive disorders
C4505323,clinical deterioration
C1619738,immune reconstitution inflammatory syndrome
C0001688,aspects of adverse effects
C0023787,lipodystrophy
C1518910,pathogenesis of hiv opportunistic infection
C0475463,antibodies neutralizing
C0199176,prophylactic treatment
C0343752,acute hiv infection
C0029017,oncogenic viruses
C5539671,mesangial fibrillary deposits
C0002716,amyloid
C1456454,amyloid proteins
C0085151,amyloid betaprotein precursor
C0009742,congo red
C0521164,ring shape
C4255101,fibrillins
C0268381,primary amyloidosis
C0004965,bence jones protein
C0443737,monoclonal immunoglobulin
C0806492,free immunoglobulin light chain
C0596973,monomer
C0006267,bronchiectasis
C0008707,chronic osteomyelitis
C0206245,amyloid neuropathies familial
C0031069,familial mediterranean fever
C0665818,pyrin
C1421224,ttr gene
C0268407,senile cardiac amyloidosis
C0878544,cardiomyopathies
C0268405,hemodialysisassociated amyloidosis
C0005149,beta2 microglobulin
C0180860,filters
C0268392,localized amyloidosis
C0206693,medullary carcinoma
C0031511,pheochromocytoma
C0205698,undifferentiated carcinoma
C0063684,amylin
C0268380,systemic amyloidosis
C3251824,cell positive for cd4 antigen
C0231221,asymptomatic finding
C0476486,generalized enlarged lymph nodes
C0231187,decompensation
C0272178,druginduced neutropenia
C0007439,indwelling catheter
C3812244,minimal disseminated disease
C0014868,esophagitis
C0236053,mucosal ulcer
C0014038,encephalitis
C0319132,papovavirus
C0023524,leukoencephalopathy progressive multifocal
C0042993,vulva
C0442158,perianal
C0302592,cervix carcinoma
C0279637,anal carcinoma
C0007114,malignant neoplasm of skin
C0027668,neoplasms vascular tissue
C0001738,africa south of the sahara
C0022497,kansas geographic location
C0079427,tumor suppressor genes
C0205422,sporadic qualifier value
C1517067,extranodal
C0028654,clinical nurse specialists
C0029180,ocular orbit
C5137640,neuroinflammatory response
C0016538,projections and predictions
C0040408,tongue
C0751377,neurologic dysfunction
C1403880,meningoencephalitis caused by virus
C0025290,aseptic meningitis
C0393489,vacuolar myelopathy
C4721453,peripheral nervous system diseases
C0001849,aids dementia complex
C5206279,serum cea level normal
C1955876,human immunodeficiency virus proteins
C0449830,with configuration
C0038179,starch
7.5-to 10-nm,75to 10nm
C0032131,plasmacytoma
C0032923,prealbumin
C0380301,ephrina5
C0002722,amyloid protein aa
C3536715,aa amyloidosis
C0007134,renal cell carcinoma
C0031154,peritonitis
C0040165,levothyroxine
C3899382,dialysis membrane reaction
C0877557,periarthritis scapulohumeralis
C0007286,carpal tunnel syndrome
C0005682,urinary bladder
C0014132,endocrine gland neoplasms
C0312439,polypeptide hormones
C1449599,ice cover
C4317108,immunohistochemical stains
C1862968,generalized amyloid deposition
C1279553,myelomaassociated amyloidosis
C0298973,ataxia telangiectasia mutated proteins
C0854359,insulin autoimmune syndrome
C2936621,highthroughput nucleotide sequencing
C0103647,antineutrophil cytoplasmic antibodies
C4049638,cutaneous small vessel vasculitis
C1513029,mature tlymphocyte
C0596263,carcinogenesis
C0085169,anticarcinogenic agents
C1708108,fundamental nanoscale phenomena and processes
C0086685,natural selection
C0262496,molecular abnormality
C0597032,neoplastic cell
C0086692,benign neoplasm
C0001807,aggressive behavior
C0600091,identifier
C0475277,small tumor
C0004927,behavior
C0852519,benign chondrogenic neoplasm
C0001430,adenoma
C1368683,epithelioma
C0030354,papilloma
C0032584,polyps
C0027430,nasal polyps
C0010633,cystadenoma
C1261473,sarcoma
C0025485,mesoderm
C0007097,carcinoma
C0009376,colonic polyps
C0039738,thallium
C3641779,divergent differentiation
C0026277,mixed salivary gland tumor
C0205766,myxofibroma
C1179435,protein component
C0178421,fibroadenoma of breast
C0039538,teratoma
C0025500,mesothelioma
C0025202,melanoma
C0036631,seminoma
C0018552,hamartoma
C0008519,ectopic tissue
C0030289,pancreatic extracts
C0334520,teratoma malignant
C0011649,dermoid cyst
C0206664,teratocarcinoma
C0449249,growth rate
C0002793,anaplasia
C5203959,welldifferentiated or dedifferentiated new tumor
C0023798,lipoma
C0936248,chondroma
C3161470,cartilage cell
C0279705,thymoma type b3 malignant
C0032219,pleomorphism morphologic abnormality
C0266589,congenital ear anomaly nos disorder
C0333910,hyperchromatism
C0007609,cell nucleolus
C0017525,giant cell tumors
C0007196,restrictive cardiomyopathy
C0035237,respiratory system
C0556636,gray unit of radiation dose
C0243140,histopathological aspects
C4704757,extracellular polymeric substances
C0019635,histocytochemistry
C0037813,mass spectrometry
C0332324,sensitive
C0032854,poverty
C0019004,hemodialysis
C4296962,normal function
C0301948,chronic graft rejection
C0021059,immunologic surveillance
C0683278,mental suffering
C1160191,regulation of growth
C1553702,neighbor
C5554878,single cell specimen
C1522642,clone
C1510411,metaplastic cell transformation
C0205173,double qualifier value
C0085862,independence
C1705313,term lexical
C1708067,flag
C1152411,rnadirected dna polymerase activity
C2936457,hostderived cellular factors
C4763672,nonneoplastic finding
C0016045,fibroma
C1623229,cell growth pattern
C0022674,renal tubule structure
C0001613,adrenal cortex
C1709160,neoplastic
C0042291,valproic acid
C4277702,parenchymal tissue
C5236380,origin cell name
C0023827,liposarcoma
C0008479,chondrosarcoma
C0013574,ectoderm
C0014144,endoderm
C0001418,adenocarcinoma
C0544886,somatic mutation
C0030580,parotid gland
C0017472,germ layers
C0018067,gonadal structure
C0243161,criteria
C4048267,cytoplasmic vacuolation
C1820190,plant parenchymal cell differentiation
C0018599,hardness
C0205245,functional
C0456972,100 international units in 01ml
1:4 or 1:6,14 or 16
C2698234,mitotic figure
C0183235,bed sheets
C5205890,loss of cell polarity
C0035412,rhabdomyosarcoma
C0019933,hormones ectopic
C0334044,dysplasia
C0007099,carcinoma in situ
C0878500,intraepithelial neoplasia
usual progressive maturation of tall cells in the basal layer to flattened squames on the surface,usual progressive maturation of tall cells in the basal layer to flattened squames on the surface
mild to moderate dysplasias that do not involve the entire thickness of the epithelium,mild to moderate dysplasias that do not involve the entire thickness of the epithelium
C1516170,cancer cell growth
C2348438,encapsulation
C3266717,cephalometric soft tissue plane
C0018916,hemangioma
C0227496,hepatic capsule structure
C1301757,invasiveness
C0677930,primary neoplasm
C0021102,implants
C0025149,medulloblastoma
C0014474,ependymoma
C1334459,lymphatic spread
C0796572,hematogenous spread
C0684249,carcinoma of lung
C0678222,breast carcinoma
C0567489,lesion of breast
C0589496,supraclavicular approach
C0229743,infraclavicular lymph node group
C0677944,sentinel node disorder
C0429874,venous flow
C0012621,body fluid discharge
C0595816,paravertebral route
C2239176,liver carcinoma
C1522726,intravenous route of drug administration
C0600139,prostate carcinoma
C0007121,bronchogenic carcinoma
C0027819,neuroblastoma
C0012171,dietary fats
C0023267,fibroid tumor
C0043237,world health organization
C0003818,arsenic
C0005036,benzene
C0005139,beryllium
C0014180,endometrium
C0178874,tumor progression
C0001973,alcoholic intoxication chronic
C0206530,germline mutation
C0041243,trypsinogen
C0085694,chronic cholecystitis
C0005390,bile acids
C0008350,cholelithiasis
C0014869,peptic esophagitis
C0004763,barrett esophagus
C0017119,gastric acid
C0677607,hashimoto disease
C0079488,helicobacter pylori
C0023531,leukoplakia
C0206674,adenoma villous
C1336076,sporadic breast carcinoma
C0241889,family history finding
C0376571,brca1 gene
C0598034,brca2 gene
C0012155,diet
C0206076,reproductive history
C0596244,cancer risk
C0678227,causing
C0336535,environmental agent
C1274041,guardian
C0023226,legal guardians
C1155291,cellular response to dna damage stimulus
C0085113,nf1 gene
C0027662,multiple endocrine neoplasia
C1333990,hereditary nonpolyposis colorectal cancer
C2985436,deleterious mutation
C1456711,sun exposure
C3553776,hyperchromatic nuclei
C0015950,fetal proteins
C0001655,corticotropin
C2826609,architectural distortion
C0221925,stratum basale
C0443299,separate
C0015400,eye enucleation procedure
C0205223,encapsulated qualifier value
C0332260,compressing action
C0006935,capsule pharmacologic
C0162854,commonwealth of independent states
C0332523,retraction finding
C0442825,well defined
C0549178,continuous
C0036525,metastatic to
C0521114,infrequent
C5446671,locally invasive lesion
C0007799,cerebral ventricles
C0007806,cerebrospinal fluid
C0037925,spinal cord
C0231832,respiratory rate
C3275276,bronchial lymph node
C1305372,hilar lymph node
C0222598,upper outer quadrant of breast
C0729594,axillary lymph node group
C0205076,chest wall structure
C0442822,trace amount
C0599880,treatment plan
C0019625,sinus histiocytosis
C0489802,capillary beds
C0037949,vertebral column
C0035092,structure of renal vein
C0042458,inferior vena cava structure
C0449289,degree of differentiation
C0920779,cancer invasiveness
C4086857,slow growing
C1282914,surrounding qualifier value
C0205169,bad
C0443203,distant
C0023269,leiomyosarcoma
C5554575,genetic predisposition to malignant neoplasm
C0025080,medical devices
C0019236,herbicides
C0392419,industrial fungicide
C0023467,leukemia myelocytic acute
C0040238,tin
C0030206,paint
C0035918,rubber
C0729428,dry cleaning agent
C1522408,coating film
C0011740,detergents
C0037638,solvents
C0033086,pharmaceutical preservatives
C0023117,latex fixation tests
C0007742,ceramics
C0337088,electrical battery
C1384551,trim25 protein human
C0014130,endocrine system diseases
C0034705,rats inbred shr
C0596240,cancer pain
C0235974,pancreatic carcinoma
C0153452,malignant neoplasm of gallbladder
C0152018,esophageal carcinoma
C0242647,mucosaassociated lymphoid tissue lymphoma
C0278701,gastric adenocarcinoma
C0476089,endometrial carcinoma
C0030851,penis
C0009402,colorectal carcinoma
C1880177,contribution
C0017444,geographic factors
C4042916,genetic background
C0014412,environmental exposure
C0017473,germ line
C1880355,discover
C0017342,genes dominant
C0031453,phenylalanine
C0025266,male population group
C0162735,point mutation
C0376544,hematopoietic neoplasms
C0007090,carcinogens
C0013203,drug resistance
C0034677,genes ras
C3481518,inversions
C0026902,myc family genes
C0024301,lymphoma follicular
C0178648,gene fusion
C0031526,philadelphia chromosome
C0008665,chromosomes human pair 22
C0010802,cytogenetics
C0812385,bcr gene
C0079413,genes abl
C2939461,myeloid neoplasm
C0027022,myeloproliferative disease
C0162768,fusion protein
C1412993,eml4 gene
C0017260,gene deletion
C1520544,13q14
C0017256,gene amplification
C5447942,gene amplification positive
C0281176,antibody therapy
C0242957,erbb2 gene
C0002938,aneuploidy
C1155748,mitotic checkpoints
C0008671,chromosomes human pair 8
C0812287,mycn gene
C1334889,notch1 gene
C1333237,dna repair gene
C1883178,subclone
C0919532,genomic instability
C0282688,evolution molecular
C0242960,genetic heterogeneity
C0521158,recurrent tumor
C0449295,limitation
C0153425,malignant tumor of small intestine
C0599883,trait
C0079424,retinoblastoma genes
C0029005,oncogene proteins
C4531170,abnormal cell proliferation
C5557616,rras gene mutation
C0751984,monomeric gtpbinding proteins
C0018328,guanine nucleotides
C0018340,guanosine diphosphate
C0024779,map
C0142580,pi3 protein human
C0245355,ras gtpaseactivating proteins
C0812241,braf gene
C1511021,braf gene mutation
C0021547,inositol
C0027831,neurofibromatosis 1
C0694888,pten gene
C0000744,abetalipoproteinemia
C0080064,protooncogene proteins cabl
C1150607,protein tyrosine kinase activity
C0004891,fusion proteins bcrabl
C0105421,bcr protein human
C5550920,cyclindependent kinase 4 inhibitors
C0751483,familial retinoblastoma
C0080113,retinoblastoma protein
C0035335,retinoblastoma
C0062776,histone methyltransferase
C0525037,cdkn2a gene
C3849193,tgfa protein human
C1283071,release action qualifier value
C1332838,candidate disease gene
C0291135,e2f4 transcription factor
C1548788,inappropriate
C0812222,mdm2 gene
C0029007,oncogene protein p21ras
C1419067,ptges gene
C0008656,chromosomes human pair 14
C0008660,chromosomes human pair 18
C0023473,myeloid leukemia chronic
C0008672,chromosomes human pair 9
C0808901,ewsr1 gene
C0808900,fli1 gene
C0085104,drug delivery systems
C4744534,tp53 negative
C1514559,protein overexpression
C0278252,prognosis bad
C0679058,encoding mental process
C1513354,mitotic
C0008659,chromosomes human pair 17
C0008662,chromosomes human pair 2
C0035696,rna messenger
C0597611,tumor suppressor proteins
C1512772,anastasis
C0024121,lung neoplasms
C2004493,leukemia bcell
C5670535,global dna hypomethylation
C1257806,chromosomal instability
C0023492,leukemia tcell
C1260953,suppressed
C1709246,nonneoplastic disorder
C1654934,immune evasion
C1154711,response to ether
C0281361,adenocarcinoma of pancreas
C0061928,gtpaseactivating proteins
C1519724,tyrosine kinase domain
C0004388,autonomic nervous system
C0006118,brain neoplasms
C0346647,malignant neoplasm of pancreas
C0149925,small cell carcinoma of lung
C0005684,malignant neoplasm of urinary bladder
C0029463,osteosarcoma
C0012940,dnabinding proteins
C1517341,g1 to s transition process
C0146462,e2f transcription factors
C1384539,e2f1 transcription factor
C0111429,cyclin e
C0018517,halflife
C0205340,repaired
C0597602,transforming virus
C1335278,ptn gene
C4505106,loss of function mutation
C0528559,smad1 protein human
C0013963,emergency medical technicians
C0042172,ecadherin
C0027832,neurofibromatosis 2
C0083725,neurofibromatosis type 1 protein
C0085114,nf2 gene
C0162832,apc gene
C0032580,adenomatous polyposis coli
C0206677,adenomatous polyps
C0028236,nobel prize
C0046056,fluorodeoxyglucose f18
C1291081,metabolic pathway
C0920502,embryonic tissue
C3159038,growing cell tip
C0001026,acetyl coenzyme a
C0008857,citrates
C0003790,arkansas
C0034348,pyruvate kinase
C0017796,glutaminase
C0027303,nadp
C1711381,ret gene mutation
C2697642,idh1 wt allele
C0051380,alphahydroxyglutarate
C1825692,tet2 gene
C0215343,mcl1 protein human
C0038027,reproduction spores
C1366587,mcl1 gene
C1332713,cd47 gene
C1332098,apaf1 gene
C0291573,caspase3
C0600253,intracisternal aparticle elements
C1070653,puma felidae
C0017351,igh gene
C0023434,chronic lymphocytic leukemia
C4524828,rb1 gene mutation
C0333710,dicentric chromosome
C2610961,mitotic catastrophe
C4551463,colonic adenomas
C5205543,malignant lesion
C0280100,solid neoplasm
C0027686,pathologic neovascularization
C0037657,somatomedins
C1658953,tumor vasculature
C1707719,switch device
C4277548,cancerassociated fibroblasts
C1517342,negative regulation of g1 phase
C1515171,tp53 gene inactivation
C4329454,biallelic mutation
C0214897,transforming growth factorbeta type ii receptor
C1523298,epithelial to mesenchymal transition
C0009835,contact inhibition
C0868955,edit
C4721610,carcinoma ovarian epithelial
C3820790,glycolytic fermentation via pfor pathway
C0032743,positronemission tomography
C0015852,fermentation
C1335851,sncg gene
C1883254,synthesis
C2613298,cellular component maintenance
C1818891,mitochondrial dna metabolic process
C0556991,fuel
C0243144,uptake
C0522505,upstream
C1454487,myc protein human
C0441513,surgical construction
C0022157,isocitrate dehydrogenase nad
C0585361,twice a day
C1516360,cell stress process
C1520801,18q211
C1520599,14q32
C0234227,indolent
C1999216,inhibitor
C0002788,mitotic anaphase
C3899394,definitely
C0034865,recombination genetic
C0338106,adenocarcinoma of colon
C3273253,complex karyotype
C1511689,dna repair pathway
C0206503,dental waste
C0700124,dilated
C3274558,great vessel abnormalities
C0444498,in situ
C0596087,angiogenesis inhibitors
C0290149,angiostatins
C0534628,endostatins
C0259990,oncologists
C0796392,bevacizumab
C0877373,advanced malignant neoplasm
C0147139,thrombospondin 1
C1707310,cascade device
C0013930,embolism tumor
C0694872,cdh1 gene
C0007427,cathepsin d
C0042071,urokinase
C0165519,matrix metalloproteinase 9
C1152589,metalloendopeptidase inhibitor activity
C0085144,autocrine motility factor
C0023946,locomotion
C1621958,glioblastoma multiforme
C4330475,immune cell
C0033607,protease inhibitors
C4505151,liquid biopsy
C4331441,tumor dna
C1513276,neoplasm micrometastasis
C0012524,catechol oxidase
C1422072,magec2 gene
C0012923,dna viruses
C1423842,nelfcd gene
C5392070,immune checkpoint proteins
C0965245,cd274 protein human
C0425152,engaged to be married
C5436988,autoimmune manifestations
C0004381,automobiles
C4684977,immune checkpoint inhibitors
C0005516,biological markers
C0086143,diagnostic tests
C0021083,immunotherapy
C1155661,mismatch repair
C0524550,nucleotide excision repair
C1158512,recombinational repair
C1519302,short tandem repeat
C0252642,mlh1 protein human
C0920269,microsatellite instability
C0043346,xeroderma pigmentosum
C0005859,bloom syndrome
C0015625,fanconi anemia
C0033640,protein kinases
C1150636,vascular endothelial growth factor receptor activity
C0346429,multiple malignancy
C1276305,curative procedure intent
C0280950,cancerrelated problemcondition
C0521723,corneal dystrophy epithelial basement membrane
C0812384,emp1 gene
C1158489,intron homing
C0231185,inefficient
C0037775,spatial distribution
C0038817,sunlight
C1157720,melanin biosynthetic process
C2350024,metabolic stress
C0026428,monitoring immunologic
C4553328,clinical outcome assessment
C0205269,unresponsive to treatment
C1519680,tumor immunity
C4015070,systemic autoinflammation
C4039583,chimeric antigen receptor
C0349636,pre bcell acute lymphoblastic leukemia
C0026879,mutagens
C0007531,cecum
C0150103,matching
C0796369,microsatellite instability diagnostic test
C4331357,sunexposed site
C0010360,crosslinking reagents
C0025033,mechlorethamine
C0294028,brca2 protein
C1419240,rad51 gene
C1519877,vdj recombination
C0021588,aid artificial insemination by donor
C1817823,somatic diversification of immunoglobulins
C1999002,actual negative coping
C0085218,rag1 gene
C1419248,rag2 gene
C0677898,invasive malignant neoplasm
C0872097,anoikis
C3891660,tumorassociated macrophage
C0184661,interventional procedure
C1257954,cyclooxygenase 2 inhibitors
C0864963,malignant neoplasm of skin of scrotum
C2916831,her1 antagonists
C1515259,telomerase inhibitor
C0151686,growth retardation
C0002073,alkylating agents
C0032457,polycyclic hydrocarbons
C0005052,benzopyrene
C0010583,cyclophosphamide
C0008163,chlorambucil
C0028210,nitrosourea compounds
C0220794,benzanthracene
C0050385,cyclophosphamidedoxorubicin protocol
C0000677,910dimethyl12benzanthracene
C0682958,aromatic amines
C0002482,amides
C0301161,azo dyes
C0028197,nitrosamines
C0042684,vinyl chloride
C0028013,nickel
C0008574,chromium
C0032447,polychlorinated biphenyls
C0014630,epoxy compounds
C0596040,adduct
C0000300,2naphthylamine
C0025513,activation metabolic
C1414672,foxd3 gene
C0085180,aflatoxin b1
C0004034,aspergillus
C0369241,filamentous fungus
C0028137,nitrites
C0001734,aflatoxins
C0041370,tumor promoters
C1306645,plain xray
C0028576,nuclear fission
C0034595,radioisotopes
C1955852,atomic bombs
C1449773,chernobyl nuclear accident
C1515001,chromosomal structural abnormalities
C0699893,skin carcinoma
C0034286,pyrimidine dimers
C0376628,chromosome breakage
C0035691,rna viruses
C0020094,human tlymphotropic virus 1
C0023493,adult tcell lymphomaleukemia
C0085224,virus integration
C0039371,taxes
C1155046,tcell proliferation
C1444783,instability
C4687416,human herpesvirus 8 positive
C0205832,merkel cells
C0019169,hepatitis b virus
C0019196,hepatitis c
C0019163,hepatitis b
C0024530,malaria
C0343640,african burkitts lymphoma
C1334346,lmp1 ebv latent membrane protein
C3641847,epsteinbarr nuclear antigen 2
C2931822,nasopharyngeal carcinoma
C5668307,oncogenic
C4521834,us military enlisted e6
C4521536,us military enlisted e7
C3714412,bioactive substance
C0282641,transgenes
C0262201,area x
C0376358,malignant neoplasm of prostate
C0333704,chromosome breaks
C0346153,breast cancer familial
C2984260,nucleotide excision repair pathway
C2936626,tumor microenvironment
C1880263,deep tissue invasion
C1707283,carcinogenic metal
C3271788,vascular endothelial growth factor signaling pathway
C0301429,animal fat
C4316305,oral anticancer drugs
C0596089,aniline dye
C1698986,storage
C0016485,food preservatives
C4721806,skin basal cell carcinoma
C0003062,animals
C1012339,rabbit endogenous retrovirus h
C0022341,japan
C0043122,caribbean islands
C0037713,south america
C0456388,blood product
C0006147,breast feeding
C0598766,leukemogenesis
C0079428,tax genes
C0044602,1phosphatidylinositol 3kinase
C1155872,cell cycle control
C0007129,merkel cell carcinoma
C0279000,liver and intrahepatic biliary tract carcinoma
C1615608,pandemics
C0020987,immunocompetence
C0883208,lymphoma cells
C4287935,t814
C4725699,fibrinassociated diffuse large bcell lymphoma
C1710133,south
C0085695,chronic gastritis
C1257899,genotoxic stress
C0345904,malignant neoplasm of liver
peristaltic pull of the gut,peristaltic pull of the gut
C1516213,cancer patient
C0023816,lipoprotein lipase
C0030472,paraneoplastic syndromes
C0004943,behcet syndrome
C0010481,cushing syndrome
C0221390,nonbacterial thrombotic endocarditis
C0521799,ectopic calcitonin production
C0178703,hypertrophic osteoarthropathy
C0238461,anaplastic thyroid carcinoma
C0178947,densitometers bone isotope singlephoton absorptiometry
C0441800,grade
C0332305,with staging
C0919553,histopathologic grade
C0237607,practice experience
C1515946,american joint committee on cancer
C1515169,tnm staging system
C1402294,primary lesion
C0947912,myasthenias
C0040100,thymoma
C0302052,blood group antigen n
C1880022,characterization
C1706750,agent expert
C1516606,clinical data
C1511726,data
C1524022,radiationinduced change
C0370003,specimen
C0449445,approach spatial
C0039259,tail
C1510483,fine needle aspiration biopsy
C0079595,imaging techniques
C0226514,structure of deep vein
C0079104,pap smear
C0021044,immunohistochemistry
C0016263,flow cytometry
C0205474,biochemical
C0138741,prostatespecific antigen
C0007082,carcinoembryonic antigen
C0002210,alphafetoproteins
C0169661,janus kinase 2
C2316368,tissue section
C4084975,pharmacogenomic analysis
C0005558,biopsy
C1513380,molecular analysis
C1835417,bcrabl fusion gene
C0753512,telomerebinding proteins
C0178566,concept
C4289767,colonization
C1285355,mendelian disorders
C0032897,praderwilli syndrome
C0162635,angelman syndrome
C1513388,molecular diagnosis
C0178546,mental disorder in childhood
C0679381,pediatric disorder
C0242354,congenital disorders
C0039131,syphilis congenital
C0544885,nonsense mutation
C1158013,nonsense mediated mrna decay
C0079380,frameshift mutation function
C0600436,base pairing
C0282537,trinucleotide repeats
C0016667,fragile x syndrome
C0009219,coding
C2717924,genomic structural variation
C1707513,copy number
C2350469,genetic phenomena
C0038702,sulfanilamide
C0836213,lumen of gut
C0021933,intussusception
C0424678,lean body mass
C0004093,asthenia
C0028707,science of nutrition
C1450557,igfbp7 protein human
C0443131,accurate qualifier
C0233324,term birth
C0449394,staging system
C1334167,in situ lesion
C5441917,distant metastasis
C0070099,parathyroid hormonerelated protein
C0011923,diagnostic imaging
C0332442,no pathologic diagnosis
C1882932,representation action
C0349590,nature
C4086729,pathologic examination
C0729595,pelvic lymph node group
C0743559,error
C0005695,bladder neoplasm
C0033578,prostatic neoplasms
C0699791,stomach carcinoma
C1453161,ly9 protein human
C0003324,differentiation antigens
C0871311,screening test
C0007112,adenocarcinoma of prostate
C1511884,diagnostic specificity
C0013485,embryonal carcinoma stem cells
C0150369,preventive monitoring
C0034897,recurrence
C0033325,forecast of outcome
C0242596,neoplasm residual
C1513400,molecular profiling
C5419559,protocol treatment arm molecular target
