cui,umls_concept,entity_norm
C2711630,Combined immunodeficiency disease,combined immunodeficiency disease
C1621315,purine metabolism activity,purine metabolism activity
C0086574,Lymphoid Cells,lymphoid cells
C1955941,"Precursor Cells, T-Lymphoid",precursor cells tlymphoid
C3816168,B-Cell Receptor Complex,bcell receptor complex
C0218158,Agammaglobulinaemia tyrosine kinase,agammaglobulinaemia tyrosine kinase
C0086582,Males,males
C0001344,Acute pharyngitis,acute pharyngitis
C0155825,Chronic pharyngitis,chronic pharyngitis
C0037199,Sinusitis,sinusitis
C0029882,Otitis Media,otitis media
C0006277,Bronchitis,bronchitis
C0027763,Nervous system structure,nervous system structure
C0032372,"Poliomyelitis, Bulbar",poliomyelitis bulbar
C0033740,Protozoan Infections,protozoan infections
C4695382,Intracellular bacteria,intracellular bacteria
C0030518,Parathyroid gland,parathyroid gland
C2931299,Combined immunodeficiency due to ZAP70 deficiency,combined immunodeficiency due to zap70 deficiency
C0151940,Hypocalcemic tetany,hypocalcemic tetany
C1520195,Xq26,xq26
C0021017,Immunoglobulin Isotypes,immunoglobulin isotypes
"1 in 50,000","1 in 50,000",1 in 50000
C1511002,B-Cell Differentiation,bcell differentiation
C0038858,"Suppressor Factors, Immunologic",suppressor factors immunologic
C0002878,"Anemia, Hemolytic",anemia hemolytic
C0002892,"Anemia, Pernicious",anemia pernicious
C0598798,Lymphoid neoplasm,lymphoid neoplasm
C0019372,Herpesviridae Infections,herpesviridae infections
C0025309,Meningoencephalitis,meningoencephalitis
C0017534,Giardia,giardia
C0009253,Coitus,coitus
C0231335,Childhood,childhood
C0001578,Adolescence,adolescence
C0024623,Malignant neoplasm of stomach,malignant neoplasm of stomach
C0178987,Artificial Airways,artificial airways
C1846546,Recurrent sinopulmonary infections,recurrent sinopulmonary infections
C0026918,Mycobacterium Infections,mycobacterium infections
C0006845,"Candidiasis, Chronic Mucocutaneous",candidiasis chronic mucocutaneous
C2936739,"Hyper-Immunoglobulin E Syndrome, Autosomal Dominant",hyperimmunoglobulin e syndrome autosomal dominant
C1138434,"Genetic Diseases, X-Linked",genetic diseases xlinked
C0013595,Eczema,eczema
C3830363,Early Fetal Death,early fetal death
C3899988,Autosomal Recessive Disorder,autosomal recessive disorder
C0004134,Ataxia,ataxia
C0521654,Neurologic Deficits,neurologic deficits
C0020856,Immunoglobulin IgG2,immunoglobulin igg2
C0919524,ATM gene,atm gene
C0152009,White blood cell abnormality,white blood cell abnormality
C0001916,Albinism,albinism
C0531296,CHS protein,chs protein
C0276226,Herpes encephalitis,herpes encephalitis
C0858906,Pyogenic Infection,pyogenic infection
C3899989,Autosomal Dominant Disorder,autosomal dominant disorder
C0029118,Opportunistic Infections,opportunistic infections
C0085183,"Neoplasms, Second Primary",neoplasms second primary
C0027854,Neurologic Manifestations,neurologic manifestations
C0027567,African,african
C0001737,Africa,africa
C0003980,Asia,asia
C2828008,Burden,burden
C0014507,Epidemiology,epidemiology
C0002783,Epidemiologic Studies,epidemiologic studies
C0019898,Homosexuals,homosexuals
C0259931,Hemophiliacs,hemophiliacs
C5547365,Pediatric population,pediatric population
C0282474,Maternal-Fetal Infection Transmission,maternalfetal infection transmission
C1519279,Sexual transmission,sexual transmission
C0036916,Sexually Transmitted Diseases,sexually transmitted diseases
C0151281,Genital ulcers,genital ulcers
C1628491,Parenteral transmission,parenteral transmission
C0018684,Health,health
C0040722,disease transmission qualifier,disease transmission qualifier
C0008495,Chorioamnionitis,chorioamnionitis
C1963724,Antiretroviral therapy,antiretroviral therapy
C4042908,Seroconversion,seroconversion
C0019704,HIV-1,hiv1
C0019707,Human immunodeficiency virus 2 (HIV-2),human immunodeficiency virus 2 hiv2
C1622204,envelope,envelope
C0598995,virus core,virus core
C1413246,CD9 gene,cd9 gene
C1268457,Viral core,viral core
C1167398,Viral Envelope,viral envelope
C0227091,Maxillary left lateral primary incisor,maxillary left lateral primary incisor
C0017360,pol genes,pol genes
C5392128,Viral Proteases,viral proteases
C2963249,Accessory,accessory
C2827666,Variability,variability
C0042760,Virion,virion
C0449560,Subtype (attribute),subtype attribute
C5555894,Clade,clade
C3820765,cell cycle DNA replication,cell cycle dna replication
C0080194,Muscle strain,muscle strain
C0221786,white American,white american
C0596709,HIV envelope protein,hiv envelope protein
C0042720,Viral Genome,viral genome
C0035380,Reverse Transcription,reverse transcription
C0006556,"DNA, Complementary",dna complementary
C1158478,DNA Integration,dna integration
C0012939,"DNA, Viral",dna viral
C0042736,Viral Proteins,viral proteins
C1138413,"Regulatory Sequences, Ribonucleic Acid",regulatory sequences ribonucleic acid
C0039551,Terminal Repeat Sequences,terminal repeat sequences
C0007594,Cell fusion procedure,cell fusion procedure
C0205275,Latent,latent
C0086474,"Integration, Provirus",integration provirus
C0439682,Follicular,follicular
C0020455,Hypergammaglobulinemia,hypergammaglobulinemia
C0042749,Viremia,viremia
C0275518,Acute infectious disease,acute infectious disease
C0682639,Memory T Cells,memory t cells
C1698484,Mucosal Infection,mucosal infection
C0457343,Chronic phase,chronic phase
C1523368,T cell mediated cytotoxicity,t cell mediated cytotoxicity
C0008956,Clinical Competence,clinical competence
C0243009,CD4 Count determination procedure,cd4 count determination procedure
C0332167,High risk of,high risk of
C0682323,Partner in relationship,partner in relationship
1985,1985,1985
C0005889,Body Fluids,body fluids
C4743688,Sexual Contact,sexual contact
C0019900,Homosexuality,homosexuality
C0036563,Plant seeds,plant seeds
C1880165,Concentrate Dosage Form,concentrate dosage form
C0242566,Intravenous drug user,intravenous drug user
C0205279,Contaminated,contaminated
C0183185,Screens (device),screens device
C0011209,Obstetric Delivery,obstetric delivery
C0033011,Pregnant Women,pregnant women
0.3%,0.3%,03
C0521143,Seropositive,seropositive
C0079337,Feline Immunodeficiency Virus,feline immunodeficiency virus
C0037224,Simian immunodeficiency virus,simian immunodeficiency virus
C0079031,"Immunodeficiency Virus, Bovine",immunodeficiency virus bovine
C1019124,Infectious salmon anemia virus,infectious salmon anemia virus
C0015176,Europe,europe
C0001740,"Africa, Central",africa central
C0001747,"Africa, Western",africa western
C0021201,India,india
C0332501,Spherical shape,spherical shape
C1136102,Capsid Proteins,capsid proteins
C1948062,Copy (object),copy object
C0035379,RNA-Directed DNA Polymerase,rnadirected dna polymerase
C0063690,Integrase,integrase
C0017343,"Genes, env",genes env
C1819995,Host Cell,host cell
C1325834,viral glycoprotein,viral glycoprotein
C1079230,Subgroup A Nepoviruses,subgroup a nepoviruses
C0681686,Geographic Distribution,geographic distribution
C0043129,Western Europe,western europe
C0039725,Thailand,thailand
C0015024,Ethiopia,ethiopia
C0001746,"Africa, Southern",africa southern
C0599894,cellular targeting,cellular targeting
C0023675,Life Cycle Stages,life cycle stages
C1258847,"CES1 protein, human",ces1 protein human
C1167399,host cell cytoplasm,host cell cytoplasm
C0475806,1/3 meter (distance vision finding),13 meter distance vision finding
C0443304,Silent,silent
C0872054,Latent Infection,latent infection
C1697860,Transcriber,transcriber
C1155616,Cell budding,cell budding
C0040421,Palatine Tonsil,palatine tonsil
C0010827,"Cytopathogenic Effect, Viral",cytopathogenic effect viral
C1184738,Set of regional lymph nodes,set of regional lymph nodes
C0031350,Pharyngitis,pharyngitis
C0231528,Myalgia,myalgia
C0015672,Fatigue,fatigue
C4288309,Rare Disease Indicator,rare disease indicator
C0678587,Steady-State,steadystate
C0521026,Viral,viral
C0010176,Cost Control,cost control
C1272688,status - In progress,status in progress
C0275522,Asymptomatic Infections,asymptomatic infections
C0001675,Adult,adult
C0376249,With frequency,with frequency
C0001972,Alcoholics Anonymous,alcoholics anonymous
C0006849,Oral candidiasis,oral candidiasis
C0153252,Systemic candidiasis,systemic candidiasis
C0008513,Chorioretinitis,chorioretinitis
C0206178,Cytomegalovirus Retinitis,cytomegalovirus retinitis
C0009319,Colitis,colitis
C2718284,Mycobacterium avium-intracellulare,mycobacterium aviumintracellulare
C0948192,primary infection nos,primary infection nos
C0010414,Infection by Cryptococcus neoformans,infection by cryptococcus neoformans
C0025289,Meningitis,meningitis
C0040557,Toxoplasma gondii,toxoplasma gondii
C0022369,JC Virus,jc virus
C0019348,Herpes Simplex Infections,herpes simplex infections
C0036220,Kaposi Sarcoma,kaposi sarcoma
C0079731,B-Cell Lymphomas,bcell lymphomas
C0007847,Malignant tumor of cervix,malignant tumor of cervix
C0153446,Malignant neoplasm of anus,malignant neoplasm of anus
C3825307,Oncogenic DNA viruses,oncogenic dna viruses
C0376526,human herpesvirus 8,human herpesvirus 8
C0887947,"Antiretroviral Therapy, Highly Active",antiretroviral therapy highly active
C4230397,Spindle-shaped finger,spindleshaped finger
C0682540,spindle cell,spindle cell
C0002976,Angiogenesis Factor,angiogenesis factor
C0280734,AIDS-Related Malignant Neoplasm,aidsrelated malignant neoplasm
C1817907,T cell mediated immunity,t cell mediated immunity
C1292753,Primary Effusion Lymphoma,primary effusion lymphoma
C0006413,Burkitt Lymphoma,burkitt lymphoma
C0079744,Diffuse Large B-Cell Lymphoma,diffuse large bcell lymphoma
C1332399,BCL6 gene,bcl6 gene
C0019829,Hodgkin Disease,hodgkin disease
C0085133,Reed-Sternberg Cells,reedsternberg cells
C0206186,"Leukoplakia, Hairy",leukoplakia hairy
C0343641,Human papilloma virus infection,human papilloma virus infection
C4041080,Neurocognitive Disorders,neurocognitive disorders
C4505323,Clinical Deterioration,clinical deterioration
C1619738,Immune Reconstitution Inflammatory Syndrome,immune reconstitution inflammatory syndrome
C0001688,aspects of adverse effects,aspects of adverse effects
C0023787,Lipodystrophy,lipodystrophy
C1518910,Pathogenesis of HIV Opportunistic Infection,pathogenesis of hiv opportunistic infection
C0475463,"Antibodies, Neutralizing",antibodies neutralizing
C0199176,Prophylactic treatment,prophylactic treatment
C0343752,Acute HIV infection,acute hiv infection
C0029017,Oncogenic Viruses,oncogenic viruses
C5539671,Mesangial fibrillary deposits,mesangial fibrillary deposits
C0002716,Amyloid,amyloid
C1456454,Amyloid Proteins,amyloid proteins
C0085151,Amyloid beta-Protein Precursor,amyloid betaprotein precursor
C0009742,Congo Red,congo red
C0521164,Ring (shape),ring shape
C4255101,Fibrillins,fibrillins
C0268381,Primary amyloidosis,primary amyloidosis
C0004965,Bence Jones Protein,bence jones protein
C0443737,Monoclonal immunoglobulin,monoclonal immunoglobulin
C0806492,Free Immunoglobulin Light Chain,free immunoglobulin light chain
C0596973,Monomer,monomer
C0006267,Bronchiectasis,bronchiectasis
C0008707,Chronic osteomyelitis,chronic osteomyelitis
C0206245,"Amyloid Neuropathies, Familial",amyloid neuropathies familial
C0031069,Familial Mediterranean Fever,familial mediterranean fever
C0665818,Pyrin,pyrin
C1421224,TTR gene,ttr gene
C0268407,Senile cardiac amyloidosis,senile cardiac amyloidosis
C0878544,Cardiomyopathies,cardiomyopathies
C0268405,Hemodialysis-associated amyloidosis,hemodialysisassociated amyloidosis
C0005149,beta-2 Microglobulin,beta2 microglobulin
C0180860,Filters,filters
C0268392,Localized amyloidosis,localized amyloidosis
C0206693,Medullary carcinoma,medullary carcinoma
C0031511,Pheochromocytoma,pheochromocytoma
C0205698,Undifferentiated carcinoma,undifferentiated carcinoma
C0063684,Amylin,amylin
C0268380,Systemic amyloidosis,systemic amyloidosis
C3251824,Cell positive for CD4 antigen,cell positive for cd4 antigen
C0231221,Asymptomatic (finding),asymptomatic finding
C0476486,Generalized enlarged lymph nodes,generalized enlarged lymph nodes
C0231187,Decompensation,decompensation
C0272178,Drug-induced neutropenia,druginduced neutropenia
C0007439,Indwelling Catheter,indwelling catheter
C3812244,Minimal Disseminated Disease,minimal disseminated disease
C0014868,Esophagitis,esophagitis
C0236053,Mucosal ulcer,mucosal ulcer
C0014038,Encephalitis,encephalitis
C0319132,Papovavirus,papovavirus
C0023524,"Leukoencephalopathy, Progressive Multifocal",leukoencephalopathy progressive multifocal
C0042993,Vulva,vulva
C0442158,Perianal,perianal
C0302592,Cervix carcinoma,cervix carcinoma
C0279637,Anal carcinoma,anal carcinoma
C0007114,Malignant neoplasm of skin,malignant neoplasm of skin
C0027668,"Neoplasms, Vascular Tissue",neoplasms vascular tissue
C0001738,Africa South of the Sahara,africa south of the sahara
C0022497,Kansas (geographic location),kansas geographic location
C0079427,Tumor Suppressor Genes,tumor suppressor genes
C0205422,Sporadic (qualifier value),sporadic qualifier value
C1517067,Extranodal,extranodal
C0028654,Clinical Nurse Specialists,clinical nurse specialists
C0029180,Ocular orbit,ocular orbit
C5137640,neuroinflammatory response,neuroinflammatory response
C0016538,Projections and Predictions,projections and predictions
C0040408,Tongue,tongue
C0751377,Neurologic Dysfunction,neurologic dysfunction
C1403880,Meningoencephalitis caused by virus,meningoencephalitis caused by virus
C0025290,Aseptic Meningitis,aseptic meningitis
C0393489,Vacuolar myelopathy,vacuolar myelopathy
C4721453,Peripheral Nervous System Diseases,peripheral nervous system diseases
C0001849,AIDS Dementia Complex,aids dementia complex
C5206279,Serum CEA Level Normal,serum cea level normal
C1955876,Human Immunodeficiency Virus Proteins,human immunodeficiency virus proteins
C0449830,With configuration,with configuration
C0038179,starch,starch
7.5-to 10-nm,7.5-to 10-nm,75to 10nm
C0032131,Plasmacytoma,plasmacytoma
C0032923,Prealbumin,prealbumin
C0380301,Ephrin-A5,ephrina5
C0002722,Amyloid Protein AA,amyloid protein aa
C3536715,AA amyloidosis,aa amyloidosis
C0007134,Renal Cell Carcinoma,renal cell carcinoma
C0031154,Peritonitis,peritonitis
C0040165,levothyroxine,levothyroxine
C3899382,Dialysis Membrane Reaction,dialysis membrane reaction
C0877557,Periarthritis scapulohumeralis,periarthritis scapulohumeralis
C0007286,Carpal Tunnel Syndrome,carpal tunnel syndrome
C0005682,Urinary Bladder,urinary bladder
C0014132,Endocrine Gland Neoplasms,endocrine gland neoplasms
C0312439,Polypeptide Hormones,polypeptide hormones
C1449599,Ice Cover,ice cover
C4317108,immunohistochemical stains,immunohistochemical stains
C1862968,Generalized amyloid deposition,generalized amyloid deposition
C1279553,Myeloma-associated amyloidosis,myelomaassociated amyloidosis
C0298973,Ataxia Telangiectasia Mutated Proteins,ataxia telangiectasia mutated proteins
C0854359,Insulin autoimmune syndrome,insulin autoimmune syndrome
C2936621,High-Throughput Nucleotide Sequencing,highthroughput nucleotide sequencing
C0103647,Antineutrophil Cytoplasmic Antibodies,antineutrophil cytoplasmic antibodies
C4049638,Cutaneous Small Vessel Vasculitis,cutaneous small vessel vasculitis
C1513029,Mature T-Lymphocyte,mature tlymphocyte
C0596263,Carcinogenesis,carcinogenesis
C0085169,Anticarcinogenic Agents,anticarcinogenic agents
C1708108,Fundamental Nanoscale Phenomena and Processes,fundamental nanoscale phenomena and processes
C0086685,Natural Selection,natural selection
C0262496,Molecular Abnormality,molecular abnormality
C0597032,Neoplastic Cell,neoplastic cell
C0086692,Benign Neoplasm,benign neoplasm
C0001807,Aggressive behavior,aggressive behavior
C0600091,Identifier,identifier
C0475277,Small tumor,small tumor
C0004927,Behavior,behavior
C0852519,Benign chondrogenic neoplasm,benign chondrogenic neoplasm
C0001430,Adenoma,adenoma
C1368683,Epithelioma,epithelioma
C0030354,Papilloma,papilloma
C0032584,polyps,polyps
C0027430,Nasal Polyps,nasal polyps
C0010633,Cystadenoma,cystadenoma
C1261473,Sarcoma,sarcoma
C0025485,Mesoderm,mesoderm
C0007097,Carcinoma,carcinoma
C0009376,Colonic Polyps,colonic polyps
C0039738,thallium,thallium
C3641779,Divergent Differentiation,divergent differentiation
C0026277,Mixed Salivary Gland Tumor,mixed salivary gland tumor
C0205766,Myxofibroma,myxofibroma
C1179435,Protein Component,protein component
C0178421,Fibroadenoma of breast,fibroadenoma of breast
C0039538,Teratoma,teratoma
C0025500,Mesothelioma,mesothelioma
C0025202,melanoma,melanoma
C0036631,Seminoma,seminoma
C0018552,Hamartoma,hamartoma
C0008519,Ectopic Tissue,ectopic tissue
C0030289,Pancreatic Extracts,pancreatic extracts
C0334520,"Teratoma, Malignant",teratoma malignant
C0011649,Dermoid Cyst,dermoid cyst
C0206664,Teratocarcinoma,teratocarcinoma
C0449249,Growth rate,growth rate
C0002793,Anaplasia,anaplasia
C5203959,Well-Differentiated or De-Differentiated New Tumor,welldifferentiated or dedifferentiated new tumor
C0023798,Lipoma,lipoma
C0936248,Chondroma,chondroma
C3161470,Cartilage Cell,cartilage cell
C0279705,"Thymoma, type B3, malignant",thymoma type b3 malignant
C0032219,Pleomorphism (morphologic abnormality),pleomorphism morphologic abnormality
C0266589,Congenital ear anomaly NOS (disorder),congenital ear anomaly nos disorder
C0333910,Hyperchromatism,hyperchromatism
C0007609,Cell Nucleolus,cell nucleolus
C0017525,Giant Cell Tumors,giant cell tumors
C0007196,Restrictive cardiomyopathy,restrictive cardiomyopathy
C0035237,Respiratory System,respiratory system
C0556636,Gray unit of radiation dose,gray unit of radiation dose
C0243140,Histopathological aspects,histopathological aspects
C4704757,Extracellular Polymeric Substances,extracellular polymeric substances
C0019635,Histocytochemistry,histocytochemistry
C0037813,Mass Spectrometry,mass spectrometry
C0332324,Sensitive,sensitive
C0032854,Poverty,poverty
C0019004,Hemodialysis,hemodialysis
C4296962,Normal function,normal function
C0301948,Chronic graft rejection,chronic graft rejection
C0021059,Immunologic Surveillance,immunologic surveillance
C0683278,Mental Suffering,mental suffering
C1160191,regulation of growth,regulation of growth
C1553702,Neighbor,neighbor
C5554878,Single Cell Specimen,single cell specimen
C1522642,Clone,clone
C1510411,metaplastic cell transformation,metaplastic cell transformation
C0205173,Double (qualifier value),double qualifier value
C0085862,Independence,independence
C1705313,Term (lexical),term lexical
C1708067,Flag,flag
C1152411,RNA-directed DNA polymerase activity,rnadirected dna polymerase activity
C2936457,Host-Derived Cellular Factors,hostderived cellular factors
C4763672,Non-Neoplastic Finding,nonneoplastic finding
C0016045,fibroma,fibroma
C1623229,cell growth pattern,cell growth pattern
C0022674,Renal tubule structure,renal tubule structure
C0001613,Adrenal Cortex,adrenal cortex
C1709160,Neoplastic,neoplastic
C0042291,valproic acid,valproic acid
C4277702,Parenchymal Tissue,parenchymal tissue
C5236380,Origin Cell Name,origin cell name
C0023827,liposarcoma,liposarcoma
C0008479,Chondrosarcoma,chondrosarcoma
C0013574,Ectoderm,ectoderm
C0014144,Endoderm,endoderm
C0001418,Adenocarcinoma,adenocarcinoma
C0544886,Somatic mutation,somatic mutation
C0030580,Parotid Gland,parotid gland
C0017472,Germ Layers,germ layers
C0018067,Gonadal structure,gonadal structure
C0243161,criteria,criteria
C4048267,Cytoplasmic vacuolation,cytoplasmic vacuolation
C1820190,plant parenchymal cell differentiation,plant parenchymal cell differentiation
C0018599,Hardness,hardness
C0205245,Functional,functional
C0456972,100 International Units in 0.1mL,100 international units in 01ml
1:4 or 1:6,1:4 or 1:6,14 or 16
C2698234,Mitotic Figure,mitotic figure
C0183235,Bed sheets,bed sheets
C5205890,Loss of Cell Polarity,loss of cell polarity
C0035412,Rhabdomyosarcoma,rhabdomyosarcoma
C0019933,"Hormones, Ectopic",hormones ectopic
C0334044,Dysplasia,dysplasia
C0007099,Carcinoma in Situ,carcinoma in situ
C0878500,Intraepithelial Neoplasia,intraepithelial neoplasia
usual progressive maturation of tall cells in the basal layer to flattened squames on the surface,usual progressive maturation of tall cells in the basal layer to flattened squames on the surface,usual progressive maturation of tall cells in the basal layer to flattened squames on the surface
mild to moderate dysplasias that do not involve the entire thickness of the epithelium,mild to moderate dysplasias that do not involve the entire thickness of the epithelium,mild to moderate dysplasias that do not involve the entire thickness of the epithelium
C1516170,Cancer Cell Growth,cancer cell growth
C2348438,Encapsulation,encapsulation
C3266717,Cephalometric soft tissue plane,cephalometric soft tissue plane
C0018916,Hemangioma,hemangioma
C0227496,Hepatic capsule structure,hepatic capsule structure
C1301757,Invasiveness,invasiveness
C0677930,Primary Neoplasm,primary neoplasm
C0021102,Implants,implants
C0025149,Medulloblastoma,medulloblastoma
C0014474,Ependymoma,ependymoma
C1334459,Lymphatic Spread,lymphatic spread
C0796572,Hematogenous spread,hematogenous spread
C0684249,Carcinoma of lung,carcinoma of lung
C0678222,Breast Carcinoma,breast carcinoma
C0567489,Lesion of breast,lesion of breast
C0589496,Supraclavicular approach,supraclavicular approach
C0229743,Infraclavicular lymph node group,infraclavicular lymph node group
C0677944,Sentinel node (disorder),sentinel node disorder
C0429874,Venous flow,venous flow
C0012621,Body Fluid Discharge,body fluid discharge
C0595816,Paravertebral route,paravertebral route
C2239176,Liver carcinoma,liver carcinoma
C1522726,Intravenous Route of Drug Administration,intravenous route of drug administration
C0600139,Prostate carcinoma,prostate carcinoma
C0007121,Bronchogenic Carcinoma,bronchogenic carcinoma
C0027819,Neuroblastoma,neuroblastoma
C0012171,Dietary Fats,dietary fats
C0023267,Fibroid Tumor,fibroid tumor
C0043237,World Health Organization,world health organization
C0003818,arsenic,arsenic
C0005036,benzene,benzene
C0005139,beryllium,beryllium
C0014180,Endometrium,endometrium
C0178874,Tumor Progression,tumor progression
C0001973,"Alcoholic Intoxication, Chronic",alcoholic intoxication chronic
C0206530,Germ-Line Mutation,germline mutation
C0041243,Trypsinogen,trypsinogen
C0085694,Chronic cholecystitis,chronic cholecystitis
C0005390,Bile Acids,bile acids
C0008350,Cholelithiasis,cholelithiasis
C0014869,Peptic Esophagitis,peptic esophagitis
C0004763,Barrett Esophagus,barrett esophagus
C0017119,Gastric Acid,gastric acid
C0677607,Hashimoto Disease,hashimoto disease
C0079488,Helicobacter pylori,helicobacter pylori
C0023531,Leukoplakia,leukoplakia
C0206674,"Adenoma, Villous",adenoma villous
C1336076,Sporadic Breast Carcinoma,sporadic breast carcinoma
C0241889,Family history (finding),family history finding
C0376571,BRCA1 gene,brca1 gene
C0598034,BRCA2 gene,brca2 gene
C0012155,Diet,diet
C0206076,Reproductive History,reproductive history
C0596244,Cancer Risk,cancer risk
C0678227,Causing,causing
C0336535,Environmental agent,environmental agent
C1274041,Guardian,guardian
C0023226,Legal Guardians,legal guardians
C1155291,cellular response to DNA damage stimulus,cellular response to dna damage stimulus
C0085113,NF1 gene,nf1 gene
C0027662,Multiple Endocrine Neoplasia,multiple endocrine neoplasia
C1333990,Hereditary Nonpolyposis Colorectal Cancer,hereditary nonpolyposis colorectal cancer
C2985436,Deleterious Mutation,deleterious mutation
C1456711,Sun Exposure,sun exposure
C3553776,Hyperchromatic nuclei,hyperchromatic nuclei
C0015950,Fetal Proteins,fetal proteins
C0001655,corticotropin,corticotropin
C2826609,Architectural Distortion,architectural distortion
C0221925,Stratum Basale,stratum basale
C0443299,Separate,separate
C0015400,Eye Enucleation procedure,eye enucleation procedure
C0205223,Encapsulated (qualifier value),encapsulated qualifier value
C0332260,Compressing (action),compressing action
C0006935,capsule (pharmacologic),capsule pharmacologic
C0162854,Commonwealth of Independent States,commonwealth of independent states
C0332523,Retraction (finding),retraction finding
C0442825,Well defined,well defined
C0549178,Continuous,continuous
C0036525,Metastatic to,metastatic to
C0521114,Infrequent,infrequent
C5446671,Locally Invasive Lesion,locally invasive lesion
C0007799,Cerebral Ventricles,cerebral ventricles
C0007806,Cerebrospinal Fluid,cerebrospinal fluid
C0037925,Spinal Cord,spinal cord
C0231832,Respiratory rate,respiratory rate
C3275276,Bronchial lymph node,bronchial lymph node
C1305372,Hilar lymph node,hilar lymph node
C0222598,Upper outer quadrant of breast,upper outer quadrant of breast
C0729594,Axillary lymph node group,axillary lymph node group
C0205076,Chest wall structure,chest wall structure
C0442822,trace amount,trace amount
C0599880,Treatment Plan,treatment plan
C0019625,Sinus histiocytosis,sinus histiocytosis
C0489802,Capillary Beds,capillary beds
C0037949,Vertebral column,vertebral column
C0035092,Structure of renal vein,structure of renal vein
C0042458,Inferior vena cava structure,inferior vena cava structure
C0449289,Degree of differentiation,degree of differentiation
C0920779,Cancer invasiveness,cancer invasiveness
C4086857,Slow Growing,slow growing
C1282914,Surrounding (qualifier value),surrounding qualifier value
C0205169,Bad,bad
C0443203,Distant,distant
C0023269,leiomyosarcoma,leiomyosarcoma
C5554575,Genetic Predisposition to Malignant Neoplasm,genetic predisposition to malignant neoplasm
C0025080,Medical Devices,medical devices
C0019236,Herbicides,herbicides
C0392419,Industrial fungicide,industrial fungicide
C0023467,"Leukemia, Myelocytic, Acute",leukemia myelocytic acute
C0040238,tin,tin
C0030206,Paint,paint
C0035918,Rubber,rubber
C0729428,Dry cleaning agent,dry cleaning agent
C1522408,Coating (film),coating film
C0011740,Detergents,detergents
C0037638,Solvents,solvents
C0033086,Pharmaceutical Preservatives,pharmaceutical preservatives
C0023117,Latex Fixation Tests,latex fixation tests
C0007742,Ceramics,ceramics
C0337088,Electrical battery,electrical battery
C1384551,"TRIM25 protein, human",trim25 protein human
C0014130,Endocrine System Diseases,endocrine system diseases
C0034705,"Rats, Inbred SHR",rats inbred shr
C0596240,Cancer Pain,cancer pain
C0235974,Pancreatic carcinoma,pancreatic carcinoma
C0153452,Malignant neoplasm of gallbladder,malignant neoplasm of gallbladder
C0152018,Esophageal carcinoma,esophageal carcinoma
C0242647,Mucosa-Associated Lymphoid Tissue Lymphoma,mucosaassociated lymphoid tissue lymphoma
C0278701,Gastric Adenocarcinoma,gastric adenocarcinoma
C0476089,Endometrial Carcinoma,endometrial carcinoma
C0030851,penis,penis
C0009402,Colorectal Carcinoma,colorectal carcinoma
C1880177,Contribution,contribution
C0017444,Geographic Factors,geographic factors
C4042916,Genetic Background,genetic background
C0014412,Environmental Exposure,environmental exposure
C0017473,Germ Line,germ line
C1880355,Discover,discover
C0017342,"Genes, Dominant",genes dominant
C0031453,phenylalanine,phenylalanine
C0025266,Male population group,male population group
C0162735,Point Mutation,point mutation
C0376544,Hematopoietic Neoplasms,hematopoietic neoplasms
C0007090,Carcinogens,carcinogens
C0013203,Drug resistance,drug resistance
C0034677,"Genes, ras",genes ras
C3481518,Inversions,inversions
C0026902,MYC Family Genes,myc family genes
C0024301,"Lymphoma, Follicular",lymphoma follicular
C0178648,Gene Fusion,gene fusion
C0031526,Philadelphia Chromosome,philadelphia chromosome
C0008665,"Chromosomes, Human, Pair 22",chromosomes human pair 22
C0010802,Cytogenetics,cytogenetics
C0812385,BCR gene,bcr gene
C0079413,"Genes, abl",genes abl
C2939461,Myeloid neoplasm,myeloid neoplasm
C0027022,Myeloproliferative disease,myeloproliferative disease
C0162768,Fusion protein,fusion protein
C1412993,EML4 gene,eml4 gene
C0017260,Gene Deletion,gene deletion
C1520544,13q14,13q14
C0017256,Gene Amplification,gene amplification
C5447942,Gene Amplification Positive,gene amplification positive
C0281176,Antibody Therapy,antibody therapy
C0242957,ERBB2 gene,erbb2 gene
C0002938,Aneuploidy,aneuploidy
C1155748,Mitotic Checkpoints,mitotic checkpoints
C0008671,"Chromosomes, Human, Pair 8",chromosomes human pair 8
C0812287,MYCN gene,mycn gene
C1334889,NOTCH1 gene,notch1 gene
C1333237,DNA Repair Gene,dna repair gene
C1883178,Subclone,subclone
C0919532,Genomic Instability,genomic instability
C0282688,"Evolution, Molecular",evolution molecular
C0242960,Genetic Heterogeneity,genetic heterogeneity
C0521158,Recurrent tumor,recurrent tumor
C0449295,Limitation,limitation
C0153425,Malignant tumor of small intestine,malignant tumor of small intestine
C0599883,Trait,trait
C0079424,Retinoblastoma Genes,retinoblastoma genes
C0029005,Oncogene Proteins,oncogene proteins
C4531170,Abnormal cell proliferation,abnormal cell proliferation
C5557616,RRAS Gene Mutation,rras gene mutation
C0751984,Monomeric GTP-Binding Proteins,monomeric gtpbinding proteins
C0018328,Guanine Nucleotides,guanine nucleotides
C0018340,Guanosine Diphosphate,guanosine diphosphate
C0024779,Map,map
C0142580,"PI3 protein, human",pi3 protein human
C0245355,ras GTPase-Activating Proteins,ras gtpaseactivating proteins
C0812241,BRAF gene,braf gene
C1511021,BRAF Gene Mutation,braf gene mutation
C0021547,inositol,inositol
